mr_id,label,result,reason
MR-00001,0,✗ 不可合并,规范漏洞多且无单测覆盖
MR-00002,0,✗ 不可合并,覆盖率大幅下降且API变更
MR-00003,0,✗ 不可合并,覆盖率下降且存在安全漏洞
MR-00004,0,✗ 不可合并,API变更且覆盖率下降
MR-00005,0,✗ 不可合并,覆盖率大幅下降且作者回滚率高
MR-00006,0,✗ 不可合并,覆盖率大幅下降且规范存在问题
MR-00007,0,✗ 不可合并,API变更且覆盖率下降有漏洞
MR-00008,0,✗ 不可合并,支付敏感且CI规范未通过
MR-00009,1,✓ 可合并,规模小且CI通过，风险可控
MR-00010,0,✗ 不可合并,CI构建失败且回滚率过高
MR-00011,0,✗ 不可合并,规范问题多且回滚率偏高
MR-00012,0,✗ 不可合并,含数据库迁移及覆盖率大幅下降
MR-00013,0,✗ 不可合并,覆盖率下降且存在安全漏洞
MR-00014,0,✗ 不可合并,CI单测未通过且规范存在问题
MR-00015,0,✗ 不可合并,覆盖率大幅下降且规范校验未过
MR-00016,0,✗ 不可合并,规范校验未通过且嵌套过深
MR-00017,0,✗ 不可合并,覆盖率下降且规范校验未通过
MR-00018,0,✗ 不可合并,规范未通过且覆盖率下降
MR-00019,0,✗ 不可合并,存在漏洞及规范问题，需人工审核
MR-00020,1,✓ 可合并,规模适中且CI全通，风险受控
