mr_id,mr_title,author,repo,total_changed_lines,added_lines,deleted_lines,changed_files_count,max_file_changed_lines,code_files_count,test_files_count,has_only_test_change,has_only_doc_change,code_lines_ratio,modified_methods_count,max_method_complexity,max_method_lines,max_nesting_level,has_new_dependency,has_database_migration,has_api_change,has_breaking_change,has_unit_test,unit_test_coverage,test_coverage_change,new_test_count,test_to_code_ratio,ci_build_passed,ci_unit_test_passed,ci_lint_passed,lint_issues_count,security_vulnerabilities,code_smells_count,author_total_mrs,author_mrs_last_30d,author_merge_rate_30d,author_revert_rate_30d,is_first_mr,is_core_contributor,author_days_in_repo,author_avg_mr_size,author_bug_fix_count_30d,commit_count,avg_commit_size,commit_message_quality,repo_importance_score,is_repo_owner,is_maintainer,involves_payment,involves_pii,involves_auth,involves_security,modifies_critical_file,has_todo_or_fixme,can_auto_merge
MR-00001,Feature/Fix #1,author_7,repo_10,1,26,41,1,14,2,2,0,0,0.6876073836678632,2,2.6066624810845043,30,3,0,0,0,0,1,49.66583235243788,-0.1288549344948616,2,0.2706615932030867,1,1,1,9,0,3,45,6,0.9212383770859064,0.0852273237001983,0,0,17,176,2,4,18,5.947549924224331,7.918575551521988,0,0,0,0,0,0,0,0,1
MR-00002,Feature/Fix #2,author_20,repo_2,8,2,28,7,24,2,0,0,0,0.8966670070802111,2,5.546863522397215,31,2,0,0,0,0,1,61.60993345408112,6.114905654342158,2,0.7208841629372816,0,0,1,3,0,2,259,5,0.7711678115915737,0.033805683377454,0,0,61,53,6,1,10,8.600687275342503,4.366102138180647,0,0,0,0,0,0,0,0,0
MR-00003,Feature/Fix #3,author_15,repo_2,71,6,54,3,40,4,0,0,0,0.7565530889943027,4,8.563175326646592,51,2,0,1,0,0,0,57.65302972469901,-7.329154077987471,2,0.2225342786186717,1,1,1,3,1,2,56,2,0.8641974493783883,0.0089919868601579,0,0,47,44,4,1,26,7.411205635277166,6.546024187006784,0,0,0,0,0,0,0,1,0
MR-00004,Feature/Fix #4,author_11,repo_3,58,37,14,5,5,4,1,1,0,0.7204624591991389,5,10.52665701637343,150,3,0,0,0,0,1,31.426404784369733,-2.408022528103668,2,0.2023960279387997,1,0,1,7,1,2,20,4,0.7642059403873575,0.0447008001458623,0,1,20,154,2,1,33,7.42981570578587,9.123871825974732,0,1,0,0,0,0,0,0,0
MR-00005,Feature/Fix #5,author_8,repo_10,17,18,56,5,72,4,1,0,0,0.8692396459874653,4,10.583101923960008,116,2,0,0,0,0,0,74.02802352274882,-5.392777953626381,0,0.4605581001902399,1,1,0,2,1,3,12,7,0.5926189906720865,0.0600978545425935,0,0,104,479,1,6,11,6.995458400181995,8.56239141727216,0,0,0,1,0,0,0,0,0
MR-00006,Feature/Fix #6,author_21,repo_7,18,65,50,4,5,4,0,1,0,0.3942788593622883,5,2.9502971029212928,10,8,0,0,0,1,1,53.32535875779772,0.9190578219760348,2,0.3959446672773469,1,1,1,5,0,4,6,5,0.7799067328372927,0.0455363301676753,0,0,265,40,4,2,16,5.625224481660863,6.778123373086547,0,0,0,0,0,0,0,0,1
MR-00007,Feature/Fix #7,author_7,repo_2,30,13,14,6,68,3,0,1,0,0.6100150026184548,5,9.778847801349515,145,3,0,0,0,0,0,60.73098426509782,-2.35621909530902,2,0.3105883901202564,1,1,1,5,0,2,37,2,0.7796792017338687,0.0443594325707998,0,0,184,26,0,2,68,5.219418691413086,4.9367694809128455,1,0,0,0,0,0,0,0,1
MR-00008,Feature/Fix #8,author_19,repo_1,1,50,11,6,5,4,3,0,0,0.6828198218616779,6,5.014999357278152,45,2,0,0,0,0,1,65.46128813180984,0.9452240007456972,2,0.307014911688549,1,1,1,4,0,3,7,3,0.8620935526469354,0.0460094341827808,0,0,42,34,2,3,11,6.78741310297884,5.930214062530999,0,1,0,0,0,0,0,0,1
MR-00009,Feature/Fix #9,author_23,repo_6,11,14,67,1,5,5,0,0,0,0.7783604099643715,1,11.619629070146807,35,8,0,0,0,0,1,68.64171927571566,3.8856002268822887,3,0.5538477730939406,1,1,0,5,0,2,56,2,0.7784059423834045,0.0073021255970928,0,0,25,25,2,4,75,8.223436452546936,7.89781152617556,0,1,0,0,0,0,0,0,1
MR-00010,Feature/Fix #10,author_11,repo_9,9,96,31,2,56,3,2,0,0,0.5981627370393957,5,6.603508224336377,17,1,0,0,0,0,0,47.63714385082736,6.360373728230867,4,0.2945989269055752,1,1,0,4,1,2,52,4,0.9355330772560604,0.0508361465426688,0,0,540,22,2,5,70,7.919998336062541,7.14127600805956,0,0,0,0,0,0,0,0,0
MR-00011,Feature/Fix #11,author_11,repo_3,11,80,65,5,68,2,1,0,0,0.6881179726492366,5,3.9115621894020505,150,2,0,0,0,0,0,58.42994413230944,2.436223180117187,0,0.2542701995698808,0,1,1,2,0,0,21,3,0.5771589889145247,0.1484974793951488,0,1,49,30,1,1,35,8.188362029969953,3.934796759062588,0,1,0,0,1,0,0,0,0
MR-00012,Feature/Fix #12,author_24,repo_6,65,9,39,4,141,2,2,0,0,0.5441986697079636,3,13.996614514766495,13,1,0,0,0,0,0,41.66050660931438,0.6402541231524672,1,0.3354921154448099,1,0,1,3,0,1,42,5,0.82776374074406,0.0297393253100329,0,0,102,421,3,3,21,5.294046084832613,6.346834590467004,0,0,0,0,0,1,0,1,0
MR-00013,Feature/Fix #13,author_21,repo_3,13,54,23,4,5,4,1,0,0,0.617617809447607,4,4.383325139253525,103,2,0,0,0,0,0,75.95570627109261,-5.75755492285546,1,0.7340067320615518,1,1,1,4,1,2,85,4,0.744254726859291,0.0097727863891887,0,1,321,10,0,1,41,7.143403784533055,5.025028210450541,0,0,0,0,0,0,0,0,0
MR-00014,Feature/Fix #14,author_4,repo_1,8,47,3,5,26,1,1,0,1,0.8292982310248627,0,4.91530000896366,15,3,0,0,1,0,1,58.6609393731362,-7.82428312399376,1,0.5935063155565903,1,1,1,6,0,0,1,6,0.6569353546960016,0.010974053506574,1,0,64,24,5,1,10,6.97752968318623,4.655389980632375,0,0,0,0,0,0,0,1,1
MR-00015,Feature/Fix #15,author_8,repo_5,28,5,8,1,5,3,1,0,0,0.7403802240579322,2,6.875484369266042,10,5,0,0,0,0,0,39.65902624232701,2.388221250230382,4,0.206644446824372,1,1,0,5,2,4,3,3,0.8178420575174609,0.1172133583769607,0,1,167,320,3,4,45,8.011870823653425,6.78938340880864,0,1,0,0,0,0,0,0,1
MR-00016,Feature/Fix #16,author_24,repo_10,80,24,86,5,5,3,1,0,0,0.8946795294043832,4,2.218257244839722,34,3,0,0,0,0,0,71.09680100581551,-6.363040789056466,0,0.1854370511140442,1,1,1,4,0,3,4,4,0.8343489842331826,0.1173524635656833,0,0,92,474,2,3,20,8.053785847487612,7.036921339484994,0,0,0,1,0,0,0,0,0
MR-00017,Feature/Fix #17,author_3,repo_11,11,1,9,4,6,1,1,0,0,0.6235952768872062,4,10.068398438567716,73,6,0,0,0,0,1,68.12633213384328,9.37115294587362,1,0.2606132325196344,1,1,0,4,0,0,16,4,0.9457036504494338,0.031482387070476,0,0,169,22,2,2,12,8.773524227195715,5.937912914334753,0,0,0,0,0,0,0,0,1
MR-00018,Feature/Fix #18,author_22,repo_4,3,45,2,5,5,1,0,1,0,0.726973796171242,4,6.240861483776607,103,3,0,0,0,0,1,70.3419448984802,2.1231098949933616,2,0.1939958290452438,1,1,1,2,0,2,13,3,0.92246456428783,0.0938340058453782,0,0,51,60,3,5,45,4.587317886298523,6.912980525084864,0,0,0,0,0,0,0,0,1
MR-00019,Feature/Fix #19,author_21,repo_7,17,4,30,5,78,3,3,0,0,0.8252787845892446,1,5.468458204813143,59,4,0,0,0,0,1,92.43040148578372,-3.157654352903895,1,0.2706432284625303,0,1,1,3,0,4,23,5,0.8073141800843517,0.0842735546926754,0,1,224,135,3,6,85,5.710307163075491,5.062904922443661,0,0,0,1,0,0,0,1,0
MR-00020,Feature/Fix #20,author_2,repo_6,55,1,33,3,5,0,1,0,1,0.7560524541911967,3,6.145807688605064,17,4,0,0,0,0,0,51.50170042886939,-5.890260991519993,3,0.1750468574392563,1,1,1,4,0,3,113,1,0.7477795886982507,0.0916078086305742,0,0,85,13,2,3,10,7.352759040712407,6.546998837710378,0,0,0,0,0,0,0,0,1
MR-00021,Feature/Fix #21,author_24,repo_10,32,12,8,3,34,3,0,0,0,0.801455903619681,3,12.923682929808402,52,3,0,0,0,1,0,73.48455382976469,0.772661722834658,3,0.3722042986296501,1,1,1,1,0,1,35,6,0.8582873128802604,0.0208533479171356,0,0,4,188,2,5,10,7.408839445559931,5.123546912965651,0,1,0,0,0,0,0,1,0
