feature,importance,description
has_only_doc_change,148.0997395515442,仅改动文档
has_only_test_change,102.64385032653809,仅改动测试
total_changed_lines,96.59917891025543,总改动行数
test_coverage_change,78.87754818797112,覆盖率变化
author_days_in_repo,68.05134795606136,作者在仓库天数
author_total_mrs,67.16407704353333,作者总MR数
author_revert_rate_30d,65.19872429966927,作者30天回滚率
max_method_complexity,60.13644748926163,最大方法圈复杂度
max_method_lines,57.632295072078705,最大方法行数
commit_message_quality,54.54536032676697,提交信息质量
deleted_lines,43.28046986460686,删除行数
code_lines_ratio,42.35441505908966,代码改动占比
avg_commit_size,41.27156192064285,平均提交大小
has_unit_test,38.44248962402344,有单元测试
added_lines,36.722312208265066,新增行数
ci_unit_test_passed,34.096149921417236,CI单测通过
ci_build_passed,28.62451994419098,CI构建通过
max_nesting_level,25.62470006942749,最大嵌套层级
author_avg_mr_size,24.92313712835312,作者平均MR大小
repo_importance_score,23.999939571134746,仓库重要性
test_to_code_ratio,23.872779846191406,测试代码比例
max_file_changed_lines,20.40757018327713,单个文件最大改动行数
security_vulnerabilities,17.400840044021606,安全漏洞数
code_files_count,15.272259950637817,代码文件数
code_smells_count,15.068313747644424,代码坏味道数
is_first_mr,14.46615982055664,首个MR
modified_methods_count,13.249580144882202,修改方法数
author_merge_rate_30d,12.966449975967407,作者30天合并率
unit_test_coverage,11.882508873939514,单元测试覆盖率
changed_files_count,9.3507399559021,改动文件数
test_files_count,7.798875868320465,测试文件数
ci_lint_passed,6.116349935531616,CI规范检查通过
is_maintainer,4.001890182495117,Maintainer
new_test_count,3.8172199726104736,新增测试数量
commit_count,3.5829330682754517,提交次数
has_todo_or_fixme,2.8790299892425537,TODO/FIXME
has_api_change,2.0628600120544434,API变更
lint_issues_count,1.3748019933700562,代码规范问题数
has_breaking_change,0.0,破坏性变更
has_database_migration,0.0,数据库迁移
has_new_dependency,0.0,新增依赖
author_mrs_last_30d,0.0,作者30天MR数
is_core_contributor,0.0,核心贡献者
author_bug_fix_count_30d,0.0,作者30天Bug修复数
involves_payment,0.0,涉及支付
is_repo_owner,0.0,仓库Owner
involves_pii,0.0,涉及PII
involves_auth,0.0,涉及权限
involves_security,0.0,涉及安全
modifies_critical_file,0.0,修改关键文件
