feature,importance,description
has_only_test_change,5394.436480998993,仅改动测试
has_only_doc_change,5284.817135810852,仅改动文档
ci_unit_test_passed,4341.300798773766,CI单测通过
ci_build_passed,2319.120518684387,CI构建通过
security_vulnerabilities,2221.942447543144,安全漏洞数
total_changed_lines,1584.6647764444351,总改动行数
changed_files_count,1563.7186605930328,改动文件数
has_unit_test,1437.9925162792206,有单元测试
has_todo_or_fixme,1428.867257118225,TODO/FIXME
is_core_contributor,1228.0919389724731,核心贡献者
modifies_critical_file,1152.8123831748962,修改关键文件
is_maintainer,1045.1743112802505,Maintainer
has_database_migration,1034.278538942337,数据库迁移
code_lines_ratio,1033.3255770206451,代码改动占比
has_breaking_change,1008.5404207706451,破坏性变更
