feature,coefficient,abs_coefficient,description
has_only_doc_change,2.86639976162157,2.86639976162157,仅改动文档
ci_unit_test_passed,2.36194291953845,2.36194291953845,CI单测通过
has_only_test_change,2.2593218618293083,2.2593218618293083,仅改动测试
ci_build_passed,1.123761702043195,1.123761702043195,CI构建通过
security_vulnerabilities,-1.065859861160144,1.065859861160144,安全漏洞数
is_maintainer,0.7221751004456582,0.7221751004456582,Maintainer
has_todo_or_fixme,-0.7026550378928608,0.7026550378928608,TODO/FIXME
modifies_critical_file,-0.6810619984587138,0.6810619984587138,修改关键文件
has_breaking_change,-0.6281152218683842,0.6281152218683842,破坏性变更
is_core_contributor,0.5825727347711155,0.5825727347711155,核心贡献者
changed_files_count,-0.564871310963865,0.564871310963865,改动文件数
has_unit_test,0.5462272817625272,0.5462272817625272,有单元测试
has_new_dependency,-0.5204776544537384,0.5204776544537384,新增依赖
involves_security,-0.5166993569872068,0.5166993569872068,涉及安全
code_lines_ratio,-0.4740431680806595,0.4740431680806595,代码改动占比
