feature,importance,description
ci_unit_test_passed,0.1599153192434095,CI单测通过
has_only_doc_change,0.15724077091569647,仅改动文档
has_only_test_change,0.14949185384710695,仅改动测试
security_vulnerabilities,0.1481307690497135,安全漏洞数
has_api_change,0.1473777032933284,API变更
unit_test_coverage,0.14497191177528412,单元测试覆盖率
max_file_changed_lines,0.14042522416122594,单个文件最大改动行数
is_maintainer,0.14008299879736658,Maintainer
has_todo_or_fixme,0.13594469114461533,TODO/FIXME
modifies_critical_file,0.13382297612919436,修改关键文件
added_lines,0.13188144398422305,新增行数
has_database_migration,0.1316630410007355,数据库迁移
involves_auth,0.13076854333009436,涉及权限
involves_pii,0.13064726089732545,涉及PII
ci_lint_passed,0.13015939197544973,CI规范检查通过
